K,rho,r_50,r_75,r_95
3,0.54,4.33774400322453,5.3004465867594,6.90302731593427
3,0.55,4.26079548419104,5.20732234882422,6.78161382497321
3,0.56,4.18307730991742,5.11641489825921,6.65894609273116
3,0.57,4.10734180826335,5.01815515204467,6.53502290389439
3,0.58,4.02802471745565,4.92516697583377,6.40984303267659
3,0.59,3.9505718718292,4.82808118585668,6.28689794512117
3,0.6,3.86965479901084,4.73002004320866,6.15912236584935
3,0.61,3.78796743739425,4.63098293726806,6.03008603133211
3,0.62,3.70796434367635,4.53096924925006,5.89978767696826
3,0.63,3.62467552601318,4.42997835239776,5.76822602887376
3,0.64,3.54295003299348,4.33065919554109,5.63539980410146
3,0.65,3.45805855217971,4.22764308240269,5.50432459661635
3,0.66,3.37239596287087,4.12364755914782,5.36888468000146
3,0.67,3.28811304315201,4.02111497496134,5.23217595395627
3,0.68,3.20084611336332,3.91508891738001,5.09419710192005
3,0.69,3.11280754534183,3.80808118635398,4.95763992220815
3,0.7,3.02399722120575,3.70232490314969,4.81703483167306
3,0.71,2.93631812947885,3.59111799109019,4.675155288405
3,0.72,2.84590120725715,3.48325351190788,4.53444682724642
3,0.73,2.75649016875778,3.37224112880159,4.38993131102023
3,0.74,2.66446522298133,3.26024335381837,4.24413695078623
3,0.75,2.57331982943975,3.14913833323951,4.09706237831603
3,0.76,2.47968539249863,3.03509567995765,3.95081971361274
3,0.77,2.38527756780951,2.92006522451001,3.80312599696729
3,0.78,2.29009619071749,2.80570899982825,3.65397878100999
3,0.79,2.19553839394986,2.68862796129383,3.50151444477551
3,0.8,2.0987449182241,2.57055666204067,3.34953773795558
3,0.81,2.00244582648659,2.45149436148079,3.19441000375386
3,0.82,1.9052429208807,2.33281076694181,3.03959545103897
3,0.83,1.80599573048839,2.2129873533824,2.8817973497377
3,0.84,1.70704744413086,2.09079920436024,2.72413655775371
3,0.85,1.6061839045462,1.96876530804393,2.56500614612728
3,0.86,1.50454448062412,1.84451255615073,2.40440363328192
3,0.87,1.40300608358632,1.71926345973273,2.24232653399517
3,0.88,1.29974801303655,1.59394134146053,2.07877235948954
3,0.89,1.19571321385931,1.46662166392566,1.91274401156259
3,0.9,1.09157950597648,1.3390760195065,1.74541097900551
3,0.91,0.985923689994826,1.20968155073242,1.57840532012701
3,0.92,0.880034544994773,1.07990699221358,1.40900719033264
3,0.93,0.773233100100742,0.948977704799507,1.23748190616101
3,0.94,0.665108660808275,0.81642460672287,1.0646451222322
